id,domain,taskId,topic,question,answerA,answerB,answerC,answerD,correctAnswer,answerIndex,rationale,difficulty,source,chapter,sourceItemId,status,coachBob,release,questionType,cognitiveLevel,studyRedirect,sourceUrl,integrationRelease,integrationDecision,appAction,contentHash,userApprovedForStaging,approvalRelease,priorStatus,reviewNotes
RPSGT-B2-M068,2,2C,Impedance response,What should be done when an EEG electrode impedance is unacceptable before lights out?,Leave it unchanged and hope for the best,Increase oxygen flow,Score REM immediately,Re-prep or reapply the electrode and recheck impedance,D,3,Poor impedance should be corrected when possible to improve signal quality.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M068,Live,Fix bad signals early. Morning is too late.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 2C: impedance troubleshooting.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M069,2,2C,Limb movement channels,Which channel type helps identify periodic limb movements?,Anterior tibialis EMG,Left EOG only,Thermistor only,CPAP pressure only,A,0,Leg EMG channels monitor limb muscle activity during sleep.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M069,Live,Leg channels matter. They are not extra decoration.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 2C/3A: movement channels.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M070,2,2C,Leak troubleshooting,"During PAP titration, what does a sudden high leak signal suggest checking first?",The patient's genetic risk only,"Mask position, mouth leak, tubing connection, or patient movement",The date format in the report,The room number,B,1,"Leak changes often come from interface fit, mouth leak, tubing, or movement.",Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M070,Live,"Before turning knobs, check the seal.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 2C/4A: leak recognition and troubleshooting.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M071,2,2C,Documentation summary,Which event should be documented during the night?,Only the technologist's lunch preference,Only the weather,"Significant technical problems, patient complaints, interventions, and unusual physiologic events",Only the brand of pen used,C,2,Technologist documentation provides context for scoring and interpretation.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M071,Live,Good notes help the morning reviewer understand the night.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 2C/3C: technologist documentation.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M072,3,3A,Wake scoring,"In adult sleep scoring, relaxed wakefulness with eyes closed is commonly associated with what rhythm?",Sleep spindles only,Sawtooth waves only,Absent respiratory effort,Posterior dominant alpha rhythm,D,3,Alpha rhythm is a common feature of relaxed wakefulness with eyes closed.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M072,Live,"Alpha is a wake clue, especially posterior and eyes closed.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: adult sleep-stage features.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M073,3,3A,N1 scoring,Which feature is commonly associated with N1 sleep?,Low-amplitude mixed-frequency EEG with possible slow eye movements,Dominant high-amplitude delta throughout the epoch,Continuous sleep spindles for the whole epoch,Sustained high chin tone with rapid eye movements,A,0,N1 is a light sleep stage often marked by low-amplitude mixed-frequency activity and slow eye movements.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M073,Live,"N1 is the doorway, not deep sleep.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: N1 features.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M074,3,3A,N2 scoring,Which graphoelement is strongly associated with N2 sleep?,Continuous wake alpha only,Sleep spindle or K complex,Absent airflow only,Oxygen desaturation nadir,B,1,Sleep spindles and K complexes are key N2 scoring features.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M074,Live,Spindles and K complexes are N2 landmarks.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: N2 features.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M075,3,3A,N3 scoring,N3 sleep is primarily identified by which EEG feature?,Rapid eye movements with low chin tone only,Regular snoring only,High-amplitude slow-wave activity meeting current scoring criteria,ECG artifact only,C,2,N3 is scored based on slow-wave activity according to current criteria.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M075,Live,"Deep sleep is about slow waves, not just the patient looking still.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: N3 scoring criteria.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M076,3,3A,REM scoring,Which combination supports REM sleep scoring?,High chin tone with dominant sleep spindles,Absent respiratory effort alone,Periodic leg movements only,Low chin EMG tone with rapid eye movements and compatible EEG,D,3,"REM sleep typically includes low chin tone, rapid eye movements, and appropriate EEG background.",Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M076,Live,"REM has a signature: eyes active, chin quiet.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: REM features.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M077,3,3A,Arousals,What is an arousal in sleep scoring?,An abrupt shift in EEG frequency meeting scoring-rule duration and context requirements,A final diagnosis of insomnia,Any body movement regardless of EEG,A change in room temperature,A,0,Arousals are EEG-defined events scored according to duration and sleep-stage rules.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M077,Live,A movement is not automatically an arousal. Look at the EEG rule.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: arousal scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M078,3,3A,Apnea,What best describes an apnea for scoring purposes?,Any snore sound without airflow change,A marked reduction in airflow meeting duration and scoring-rule criteria,Any leg movement,Any awakening after lights on,B,1,Apneas are airflow events scored using defined reduction and duration criteria.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M078,Live,Apnea is an airflow event first. Then you classify the effort pattern.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: apnea scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M079,3,3A,Obstructive apnea,What distinguishes an obstructive apnea from a central apnea?,The patient must be in REM,The oximeter must fail,Respiratory effort persists during the obstructive apnea,The ECG must be absent,C,2,Obstructive apneas show continued or increased effort despite absent/reduced airflow.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M079,Live,Obstruction means the body is trying but airflow is blocked.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: obstructive vs central apnea.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M080,3,3A,Central apnea,What distinguishes a central apnea from an obstructive apnea?,Higher chin EMG tone,More electrode artifact,A full-face mask,Absent respiratory effort during the event,D,3,Central apneas lack respiratory effort during the airflow reduction.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M080,Live,"Central means the drive/effort is missing, not just the airway blocked.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: central apnea recognition.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M081,3,3A,Mixed apnea,What is a mixed apnea?,An apnea with both central and obstructive components,A hypopnea with leg movement,A desaturation without airflow change,A wake epoch with alpha rhythm,A,0,Mixed apneas contain an initial central component and an obstructive component.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M081,Live,Mixed means the pattern changes inside the event.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: mixed apnea.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M082,3,3A,Hypopnea,What is scored as a hypopnea?,A complete absence of effort only,A qualifying partial reduction in airflow with associated scoring-rule criteria,Any snore without airflow reduction,Any brief eye movement,B,1,Hypopneas are partial airflow reductions that meet current scoring requirements.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M082,Live,"Hypopnea is partial reduction plus the rule criteria, not just 'looks smaller.'",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: hypopnea scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M083,3,3A,RERA,What does RERA stand for?,Rapid eye rhythm artifact,Respiratory electrode replacement action,Respiratory effort-related arousal,REM event report average,C,2,RERA is a respiratory event associated with increasing effort or flow limitation ending in arousal but not meeting apnea/hypopnea criteria.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M083,Live,RERA is the 'not quite apnea or hypopnea' respiratory arousal clue.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: RERA definition.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M084,3,3A,Desaturation,What is an oxygen desaturation?,A rise in EEG amplitude,A change in body position only,An increase in PAP leak only,A drop in oxygen saturation from baseline or prior level meeting defined criteria,D,3,Desaturations are scored from oximetry according to defined drop and timing rules.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M084,Live,SpO2 drops are oxygenation clues. Verify signal quality too.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: desaturation scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M085,3,3A,PLMS,Which signal is central to scoring periodic limb movements?,Leg EMG activity,Nasal pressure only,Left EOG only,Thermistor only,A,0,Periodic limb movements are scored from limb EMG patterns using specific criteria.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M085,Live,Leg EMG is where the limb movement story starts.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: movement scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M086,3,3A,Cardiac events,How should cardiac rhythm observations in PSG be handled?,Ignored because PSG is not a heart test,Recognized and documented according to scoring/reporting and lab policy,Diagnosed independently as final cardiology findings,Deleted from the record,B,1,ECG is part of PSG monitoring; concerning observations should be documented and escalated as appropriate.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M086,Live,"You are not making a cardiology diagnosis, but you are responsible for noticing.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: cardiac event documentation.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M087,3,3A,AHI,What does AHI represent?,Arousals per minute of wake,Average humidifier intensity,Apneas plus hypopneas per hour of sleep,Alpha height index,C,2,AHI is an index of apneas and hypopneas divided by sleep time.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M087,Live,AHI is events over sleep time. Know the denominator.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A/3C: AHI calculation.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M088,3,3A,RDI,What does RDI commonly include beyond apneas and hypopneas?,Only ECG beats,Only sleep spindles,Only leg movements,"Respiratory effort-related arousals, depending on reporting definition",D,3,"RDI is commonly used to include respiratory events such as apneas, hypopneas, and RERAs depending on definitions used.",Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M088,Live,"AHI and RDI are related, but they are not always identical.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A/3C: respiratory indices.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M089,3,3A,Artifact and scoring,Why should artifact be identified before scoring events?,Artifact can mimic or obscure physiologic signals,Artifact always proves REM sleep,Artifact replaces airflow scoring,Artifact is never relevant,A,0,Scoring requires reliable signals; artifact can cause false interpretation.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M089,Live,Do not score noise. Clean up the signal story first.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A/2C: artifact impact on scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M090,3,3A,Sleep staging,Which statement about adult sleep staging is correct?,Only body position determines stage,Each epoch is assigned a sleep stage using current scoring rules and available signals,Oximetry alone determines stage,All epochs are automatically REM after midnight,B,1,"Staging uses EEG, EOG, EMG, and scoring rules for each epoch.",Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M090,Live,"Stage the epoch by the evidence, not by the clock.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3A: sleep-stage scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M091,3,3A,Current rules,What should a learner use to verify exact scoring cutoffs and definitions?,An outdated memory only,Random social-media comments,The current AASM scoring manual and current exam/resource expectations,The color theme of the app,C,2,Scoring rules can be updated; learners should verify exact criteria against current official resources.,Exam,BRPT blueprint + current AASM scoring manual,,RPSGT-B2-M091,Live,"Memory is good, but current rules are the authority.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review current AASM scoring manual rules for scoring details.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M092,3,3B,Pediatric scoring,Why must pediatric and infant studies be scored with age-appropriate rules?,Children never have respiratory events,Infants always use adult staging only,Pediatric studies do not require scoring,"Sleep, breathing, and event criteria can differ by age/development",D,3,Pediatric and infant scoring includes age/development-specific considerations.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M092,Live,Kids are not just small adults in scoring either.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3B: pediatric and infant scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M093,3,3B,Pediatric respiratory events,"In pediatric respiratory scoring, what is especially important?",Applying pediatric-specific respiratory event definitions and duration criteria,Using only adult apnea criteria in every case,Ignoring CO2 when ordered,Scoring every sigh as apnea,A,0,Children have pediatric-specific respiratory scoring rules.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M093,Live,Pediatric rules matter. Do not force adult shortcuts.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3B: pediatric respiratory scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M094,3,3B,Infant sleep,Which concept is associated with infant sleep scoring?,Only adult N2 spindles determine all sleep,Developmental sleep states and age-specific features,Infants cannot be monitored,Every infant epoch is wake,B,1,Infant scoring considers developmental sleep-state features and age.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M094,Live,Infant sleep has its own language.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3B: infant sleep scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M095,3,3B,Pediatric CO2,Why may CO2 monitoring be especially relevant in pediatric studies?,It replaces all airflow sensors,It measures eye movements,It helps evaluate hypoventilation when ordered or indicated,It determines electrode impedance,C,2,"CO2 monitoring provides ventilation information, important in hypoventilation evaluation.",Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M095,Live,Oxygen is not the same as ventilation. That lesson matters in pediatrics too.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3B/2A: pediatric CO2 monitoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M096,3,3B,Pediatric arousals,What should be used when scoring pediatric arousals?,Room noise alone,Technologist preference only,Mask size only,Current pediatric scoring rules and appropriate EEG context,D,3,Arousals are scored using defined EEG and context criteria.,Exam,BRPT blueprint + AASM scoring manual,,RPSGT-B2-M096,Live,"Use the rule, not a hunch.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3B: pediatric arousal scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M097,3,3B,Pediatric movements,Which signal helps score pediatric limb movements?,Leg EMG channels,Oximetry only,Snore microphone only,CPAP humidifier setting,A,0,Leg EMG supports limb movement scoring in pediatric and adult studies.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M097,Live,The limb channel still matters in little patients.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3B: pediatric movement scoring.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M098,3,3B,Pediatric cardiac,What is true about pediatric cardiac event review in PSG?,ECG is never recorded in pediatric PSG,Age and clinical context matter when documenting rhythm observations,All pediatric rhythms are scored by body position,The technologist ignores concerning rhythms,B,1,"Cardiac observations require context, documentation, and protocol-based escalation.",Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M098,Live,Watch the rhythm. Know when to notify.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3B: pediatric cardiac observations.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M099,3,3B,Pediatric report context,Why should age be clearly available for pediatric scoring/report review?,Age is only used for parking validation,Age has no relation to pediatric scoring,"Age affects expected sleep, respiratory, and scoring considerations",Age replaces signal quality,C,2,Age is foundational for age-appropriate interpretation and rule application.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M099,Live,"Before you score a child, know the child's age.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3B/3C: pediatric context.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M100,3,3C,Sleep efficiency,How is sleep efficiency generally calculated?,Time awake divided by oxygen flow,Apneas divided by mask size,REM sleep divided by body weight,"Total sleep time divided by time in bed, multiplied by 100",D,3,Sleep efficiency expresses the percentage of time in bed spent asleep.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M100,Live,Efficiency is sleep over opportunity.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3C: sleep calculations.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M101,3,3C,TST,What does TST stand for?,Total sleep time,Total snore threshold,Therapy support technique,Transcutaneous signal timing,A,0,TST is the total amount of sleep scored during the recording.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M101,Live,Know your abbreviations cold.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3C: report abbreviations.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M102,3,3C,Sleep latency,What is sleep latency?,Time from sleep onset to first REM only,Time from lights out to the first epoch of sleep,Time between mask changes,Time spent in N3 only,B,1,Sleep latency measures how long it takes to fall asleep after lights out.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M102,Live,Sleep latency starts at lights out.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3C: sleep latency.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M103,3,3C,REM latency,What is REM latency?,Time from arrival to hookup,Time from REM to lights out only,Time from sleep onset to the first epoch of REM sleep,Total time with leg movements,C,2,REM latency is measured from sleep onset to the first REM epoch.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M103,Live,"REM latency starts after sleep begins, not at registration.",v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3C: REM latency.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M104,3,3C,WASO,What does WASO measure?,Wake at sleep onset only,Weighted apnea signal output,Whole-airway snore occurrence,Wake after sleep onset,D,3,WASO is wake time occurring after sleep has begun.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M104,Live,WASO is the wake that interrupts sleep after it starts.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3C: WASO.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
RPSGT-B2-M105,3,3C,Technologist summary,What should a technologist documentation summary include?,"Important observations, interventions, patient issues, and technical limitations",Personal opinions about the patient,Final diagnosis without provider review,Unverified assumptions presented as facts,A,0,The summary provides objective context for interpretation and quality review.,Exam,BRPT blueprint + sleep technology core references,,RPSGT-B2-M105,Live,Write what happened. Do not write a diagnosis.,v8.7.15-test-bank-expansion,Memory/Mastery,Recall/Recognition,Review Domain 3C: technologist documentation summary.,https://brpt.org/rpsgt/exam-blueprint/,v8.7.15-rpsgtv2-live-staging,USER_APPROVED_LIVE_FOR_STAGING,Live for RPSGTv2.2026 staging by user approval; keep live RPSGT.2026 v8.7.5 untouched unless separately approved.,,True,,,
